Algebraic Connectivity,Average Degree,Clique Number,Density,Diameter,Domination Number,Edge Connectivity,Girth,Group Size,Independence Number,Index,Laplacian Largest Eigenvalue,Matching Number,Maximum Degree,Minimum Degree,Number of Edges,Number of Spanning Trees,Number of Triangles,Number of Vertices,Number of Zero Eigenvalues,Radius,Second Largest Eigenvalue,Smallest Eigenvalue,Vertex Connectivity,Vertex Cover Number,Smallest Resistance Curvature,Largest Resistance Curvature,Smallest Forman Curvature,Largest Forman Curvature,Number of 3-gons,Number of 4-gons,Number of 5-gons,Number of 6-gons,Number of 7-gons,Number of 8-gons,Number of 9-gons,Number of 10-gons,Number of 11-gons,Number of 12-gons,name,boolean
4.0,3.0,4.0,1.0,1.0, 1,3.0,3.0,24.0,1.0,3.0,4.0,2.0,3.0,3.0,6.0,16.0,4.0,4.0,0.0,1.0,-1.0,-1.0,3.0,3.0,0.6666666666666665,0.6666666666666669,4,4,4,0,0,0,0,0,0,0,0,0,P0,True
2.382,3.333,3.0,0.667,2.0, 1,3.0,3.0,10.0,2.0,3.449,6.0,3.0,5.0,3.0,10.0,121.0,5.0,6.0,0.0,1.0,0.618,-1.618,3.0,4.0,-0.2639999999999998,0.4400000000000001,2,2,5,0,1,0,0,0,0,0,0,0,P1,True
3.0,3.2,3.0,0.8,2.0, 1,3.0,3.0,8.0,2.0,3.236,5.0,2.0,4.0,3.0,8.0,45.0,4.0,5.0,2.0,1.0,0.0,-2.0,3.0,3.0,0.1530612244897962,0.5357142857142858,3,3,4,1,0,0,0,0,0,0,0,0,P2,True
3.0,3.6,4.0,0.9,2.0, 1,3.0,3.0,12.0,2.0,3.646,5.0,2.0,4.0,3.0,9.0,75.0,7.0,5.0,1.0,1.0,0.0,-1.646,3.0,3.0,0.3448275862068962,0.7758620689655175,2,3,6,0,0,0,0,0,0,0,0,0,P3,True
2.0,3.0,3.0,0.6,2.0, 2,3.0,3.0,12.0,2.0,3.0,5.0,3.0,3.0,3.0,9.0,75.0,2.0,6.0,2.0,2.0,1.0,-2.0,3.0,4.0,0.3191489361702125,0.3191489361702129,2,3,2,3,0,0,0,0,0,0,0,0,P4,True
2.586,4.0,4.0,0.8,2.0, 1,3.0,3.0,4.0,2.0,4.119,6.0,3.0,5.0,3.0,12.0,336.0,10.0,6.0,0.0,1.0,0.618,-1.687,3.0,4.0,0.0141402238868778,0.7565019779479842,0,3,8,0,0,0,0,0,0,0,0,0,P5,True
2.0,3.5,3.0,0.5,2.0, 2,3.0,3.0,8.0,4.0,3.541,6.0,4.0,4.0,3.0,14.0,1176.0,4.0,8.0,0.0,2.0,1.618,-2.541,3.0,4.0,0.0327357755261106,0.4255650818394389,1,2,4,4,0,0,0,0,0,0,0,0,P6,True
2.0,3.0,2.0,0.429,3.0, 2,3.0,4.0,48.0,4.0,3.0,6.0,4.0,3.0,3.0,12.0,384.0,0.0,8.0,0.0,3.0,1.0,-3.0,3.0,4.0,0.2068965517241376,0.2068965517241383,2,2,0,6,0,0,0,0,0,0,0,0,P7,True
0.859,3.692,2.0,0.148,6.0, 6,3.0,4.0,48.0,14.0,3.742,7.562,12.0,4.0,3.0,48.0,2147483647.0,0.0,26.0,8.0,4.0,2.828,-3.742,3.0,12.0,-0.0488782930503054,0.2168101427445664,0,1,0,24,0,0,0,0,0,0,0,0,P8,True
1.764,4.0,4.0,0.444,2.0, 2,3.0,3.0,2.0,4.0,4.207,7.385,5.0,6.0,3.0,20.0,25168.0,10.0,10.0,0.0,2.0,2.0,-2.0,3.0,6.0,-0.3444675867152351,0.4963856358768811,-2,3,8,4,0,0,0,0,0,0,0,0,P9,True
0.764,3.0,2.0,0.158,5.0, 6,3.0,5.0,120.0,8.0,3.0,5.236,10.0,3.0,3.0,30.0,5184000.0,0.0,20.0,4.0,5.0,2.236,-2.236,3.0,12.0,0.054744525547445,0.0547445255474457,0,0,0,0,12,0,0,0,0,0,0,0,P10,True
0.729,3.0,3.0,0.273,4.0, 3,3.0,3.0,1.0,5.0,3.0,5.339,6.0,3.0,3.0,18.0,6235.0,3.0,12.0,1.0,3.0,2.271,-2.339,3.0,7.0,0.0149974963704974,0.1544081859025425,-3,3,3,1,2,1,1,0,0,0,0,0,P11,True
2.209,4.909,4.0,0.491,2.0, 2,3.0,3.0,12.0,6.0,5.606,9.317,5.0,8.0,3.0,27.0,421875.0,25.0,11.0,2.0,2.0,1.732,-2.0,3.0,5.0,-0.4618937644341805,0.4763279445727487,-6,1,18,0,0,0,0,0,0,0,0,0,P12,True
1.247,3.6,3.0,0.4,3.0, 2,3.0,3.0,6.0,4.0,3.845,7.127,5.0,6.0,3.0,18.0,8405.0,7.0,10.0,0.0,2.0,1.964,-2.133,3.0,6.0,-0.3759450528537566,0.3936783100638399,-1,2,7,0,3,0,0,0,0,0,0,0,P13,True
1.268,3.273,2.0,0.327,4.0, 3,3.0,4.0,12.0,6.0,3.317,6.732,5.0,4.0,3.0,18.0,10800.0,0.0,11.0,3.0,3.0,1.732,-3.317,3.0,5.0,-0.1286173633440519,0.2411575562700966,1,2,0,9,0,0,0,0,0,0,0,0,P14,True
1.438,3.429,2.0,0.264,4.0, 4,3.0,4.0,48.0,8.0,3.464,7.0,6.0,4.0,3.0,24.0,331776.0,0.0,14.0,6.0,4.0,2.0,-3.464,3.0,6.0,-0.1142857142857144,0.2571428571428573,1,1,0,12,0,0,0,0,0,0,0,0,P15,True
1.586,3.429,4.0,0.571,2.0, 2,3.0,3.0,6.0,2.0,3.514,5.618,3.0,4.0,3.0,12.0,361.0,5.0,7.0,2.0,2.0,1.572,-2.0,3.0,5.0,0.0974358974358972,0.5358974358974361,1,3,4,3,0,0,0,0,0,0,0,0,P16,True
1.822,3.429,3.0,0.571,2.0, 2,3.0,3.0,1.0,3.0,3.551,6.306,3.0,5.0,3.0,12.0,353.0,5.0,7.0,0.0,2.0,1.297,-2.208,3.0,4.0,-0.2611884545206384,0.4488384121374077,1,3,5,1,1,0,0,0,0,0,0,0,P17,True
2.586,3.429,3.0,0.571,2.0, 2,3.0,3.0,6.0,3.0,3.508,5.414,3.0,4.0,3.0,12.0,392.0,4.0,7.0,0.0,2.0,0.756,-2.264,3.0,4.0,0.1414141414141412,0.4242424242424244,2,2,4,3,0,0,0,0,0,0,0,0,P18,True
2.298,5.143,4.0,0.396,3.0, 2,3.0,3.0,48.0,8.0,6.0,10.0,6.0,8.0,3.0,36.0,32400000.0,32.0,14.0,4.0,2.0,2.0,-2.0,3.0,6.0,-0.3448275862068969,0.3879310344827589,-6,-1,24,0,0,0,0,0,0,0,0,0,P19,True
2.764,4.5,4.0,0.643,2.0, 2,3.0,3.0,24.0,4.0,4.854,7.236,4.0,6.0,3.0,18.0,6000.0,16.0,8.0,0.0,2.0,0.618,-1.854,3.0,4.0,-0.1812688821752267,0.6344410876132932,-2,1,12,0,0,0,0,0,0,0,0,0,P20,True
0.438,3.0,3.0,0.13,6.0, 6,3.0,3.0,48.0,8.0,3.0,5.0,12.0,3.0,3.0,36.0,32400000.0,8.0,24.0,5.0,6.0,2.562,-2.0,3.0,16.0,0.0346820809248551,0.0346820809248557,-6,-1,8,0,0,0,0,6,0,0,0,0,P21,True
0.586,3.0,2.0,0.13,6.0, 8,3.0,4.0,48.0,12.0,3.0,6.0,12.0,3.0,3.0,36.0,101154816.0,0.0,24.0,0.0,6.0,2.414,-3.0,3.0,12.0,0.0412168792934241,0.0412168792934255,-2,0,0,6,0,8,0,0,0,0,0,0,P22,True
0.438,3.0,3.0,0.176,5.0, 5,3.0,3.0,12.0,6.0,3.0,5.0,9.0,3.0,3.0,27.0,421875.0,6.0,18.0,3.0,4.0,2.562,-2.0,3.0,12.0,0.0352317002404044,0.06010113570422,-6,1,6,0,0,2,0,3,0,0,0,0,P23,True
1.0,3.0,3.0,0.273,3.0, 3,3.0,3.0,24.0,4.0,3.0,5.0,6.0,3.0,3.0,18.0,6000.0,4.0,12.0,2.0,3.0,2.0,-2.0,3.0,8.0,0.0996677740863785,0.099667774086379,-2,1,4,0,0,4,0,0,0,0,0,0,P24,True
1.0,3.0,2.0,0.273,3.0, 4,3.0,4.0,8.0,5.0,3.0,5.562,6.0,3.0,3.0,18.0,8640.0,0.0,12.0,4.0,3.0,2.0,-2.562,3.0,7.0,0.0991189427312773,0.13215859030837,0,2,0,4,4,0,0,0,0,0,0,0,P25,True
0.317,3.0,2.0,0.12,6.0, 7,3.0,4.0,2.0,12.0,3.0,5.775,13.0,3.0,3.0,39.0,332629924.0,0.0,26.0,0.0,4.0,2.683,-2.775,3.0,14.0,-0.0175066658078098,0.0639583460854241,-6,2,0,8,3,1,2,0,0,0,1,0,P26,True
0.369,3.0,2.0,0.13,6.0, 7,3.0,4.0,2.0,11.0,3.0,5.781,12.0,3.0,3.0,36.0,77427351.0,0.0,24.0,2.0,4.0,2.631,-2.781,3.0,13.0,-0.006689779431143,0.0689469343785554,-5,2,0,7,3,2,1,0,0,1,0,0,P27,True
2.586,4.286,4.0,0.714,2.0, 2,3.0,3.0,6.0,2.0,4.372,6.618,3.0,5.0,3.0,15.0,1682.0,11.0,7.0,2.0,2.0,1.0,-2.0,3.0,5.0,0.0842411038489469,0.8002904865649965,0,2,10,0,0,0,0,0,0,0,0,0,P28,True
2.697,4.286,4.0,0.714,2.0, 1,3.0,3.0,6.0,3.0,4.511,7.0,3.0,6.0,3.0,15.0,1445.0,13.0,7.0,0.0,1.0,0.618,-1.753,3.0,4.0,-0.2712503626341745,0.7027850304612708,-1,2,10,0,0,0,0,0,0,0,0,0,P29,True
2.411,4.5,4.0,0.643,2.0, 2,3.0,3.0,2.0,3.0,4.624,7.589,4.0,6.0,3.0,18.0,7797.0,13.0,8.0,0.0,2.0,1.37,-2.318,3.0,5.0,-0.2561598737965292,0.768036438216929,-1,2,12,0,0,0,0,0,0,0,0,0,P30,True
2.586,4.5,4.0,0.643,2.0, 2,3.0,3.0,4.0,3.0,4.702,7.414,4.0,6.0,3.0,18.0,7140.0,14.0,8.0,1.0,2.0,1.0,-2.0,3.0,5.0,-0.2183655084839111,0.7198960462619993,-2,2,12,0,0,0,0,0,0,0,0,0,P31,True
2.266,4.667,4.0,0.583,2.0, 2,3.0,3.0,2.0,3.0,4.867,8.582,4.0,7.0,3.0,21.0,34662.0,15.0,9.0,0.0,2.0,1.63,-2.609,3.0,6.0,-0.5395261381568041,0.7056502247629651,-2,2,14,0,0,0,0,0,0,0,0,0,P32,True
2.422,4.667,4.0,0.583,2.0, 2,3.0,3.0,4.0,4.0,4.91,8.04,4.0,6.0,3.0,21.0,32589.0,16.0,9.0,0.0,2.0,1.513,-2.321,3.0,5.0,-0.1790331604933094,0.6860310624998455,-2,2,14,0,0,0,0,0,0,0,0,0,P33,True
2.354,4.667,4.0,0.583,2.0, 2,3.0,3.0,2.0,4.0,4.977,8.217,4.0,7.0,3.0,21.0,30024.0,17.0,9.0,0.0,2.0,1.414,-2.0,3.0,5.0,-0.4549802729272728,0.6527790349594241,-3,2,14,0,0,0,0,0,0,0,0,0,P34,True
2.238,4.667,4.0,0.583,2.0, 2,3.0,3.0,2.0,4.0,5.115,8.193,4.0,7.0,3.0,21.0,25645.0,19.0,9.0,0.0,2.0,1.407,-2.0,3.0,5.0,-0.3928345637897473,0.5952986793362566,-4,3,14,0,0,0,0,0,0,0,0,0,P35,True
2.161,4.8,4.0,0.533,2.0, 2,3.0,3.0,2.0,4.0,5.1,9.581,5.0,8.0,3.0,24.0,149984.0,17.0,10.0,0.0,2.0,1.806,-2.878,3.0,6.0,-0.7587971909181637,0.6380993481878304,-3,2,16,0,0,0,0,0,0,0,0,0,P36,True
2.218,4.8,4.0,0.533,2.0, 2,3.0,3.0,4.0,4.0,5.119,8.975,5.0,7.0,3.0,24.0,143360.0,18.0,10.0,0.0,2.0,1.826,-2.614,3.0,6.0,-0.4239694821885711,0.6340426380522955,-3,2,16,0,0,0,0,0,0,0,0,0,P37,True
2.366,4.8,4.0,0.533,2.0, 2,3.0,3.0,1.0,4.0,5.158,8.662,5.0,7.0,3.0,24.0,135616.0,19.0,10.0,0.0,2.0,1.557,-2.324,3.0,6.0,-0.4024843724603353,0.6191115397740901,-4,2,16,0,0,0,0,0,0,0,0,0,P38,True
2.438,4.8,4.0,0.533,2.0, 2,3.0,3.0,8.0,5.0,5.236,9.141,5.0,8.0,3.0,24.0,122880.0,20.0,10.0,1.0,2.0,1.414,-2.0,3.0,5.0,-0.62992125984252,0.5729602948567601,-4,1,16,0,0,0,0,0,0,0,0,0,P39,True
2.086,4.909,4.0,0.491,2.0, 2,3.0,3.0,2.0,4.0,5.324,10.582,5.0,9.0,3.0,27.0,636548.0,19.0,11.0,2.0,2.0,1.926,-3.129,3.0,7.0,-0.9254488270727022,0.5752374910832345,-4,2,18,0,0,0,0,0,0,0,0,0,P40,True
2.088,4.909,4.0,0.491,2.0, 2,3.0,3.0,4.0,5.0,5.325,9.953,5.0,8.0,3.0,27.0,615595.0,20.0,11.0,0.0,2.0,2.027,-2.885,3.0,6.0,-0.6205913181901668,0.5794187715000857,-4,2,18,0,0,0,0,0,0,0,0,0,P41,True
2.291,4.909,4.0,0.491,2.0, 2,3.0,3.0,1.0,5.0,5.344,9.575,5.0,8.0,3.0,27.0,592086.0,21.0,11.0,1.0,2.0,1.838,-2.619,3.0,6.0,-0.6038860853387944,0.5745145335441999,-5,2,18,0,0,0,0,0,0,0,0,0,P42,True
2.382,4.909,4.0,0.491,2.0, 2,3.0,3.0,4.0,5.0,5.396,9.317,5.0,8.0,3.0,27.0,548625.0,22.0,11.0,1.0,2.0,1.618,-2.33,3.0,6.0,-0.5649455026550737,0.5433998088866312,-5,2,18,0,0,0,0,0,0,0,0,0,P43,True
2.032,5.0,4.0,0.455,2.0, 2,3.0,3.0,2.0,5.0,5.54,11.584,6.0,10.0,3.0,30.0,2662053.0,21.0,12.0,0.0,2.0,2.011,-3.366,3.0,7.0,-1.0526761434098493,0.5198712693782161,-5,2,20,0,0,0,0,0,0,0,0,0,P44,True
2.0,5.0,4.0,0.455,2.0, 2,3.0,3.0,4.0,5.0,5.526,10.945,6.0,9.0,3.0,30.0,2597452.0,22.0,12.0,1.0,2.0,2.163,-3.138,3.0,7.0,-0.7763265756929318,0.5283661326785598,-5,2,20,0,0,0,0,0,0,0,0,0,P45,True
2.13,5.0,4.0,0.455,2.0, 2,3.0,3.0,1.0,5.0,5.53,10.551,6.0,9.0,3.0,30.0,2528107.0,23.0,12.0,0.0,2.0,2.07,-2.892,3.0,7.0,-0.7653715142446016,0.5287615022498328,-6,2,20,0,0,0,0,0,0,0,0,0,P46,True
2.341,5.0,4.0,0.455,2.0, 2,3.0,3.0,4.0,6.0,5.563,10.0,6.0,8.0,3.0,30.0,2375340.0,24.0,12.0,2.0,2.0,1.87,-2.629,3.0,6.0,-0.504606821916283,0.5073196831328521,-6,2,20,0,0,0,0,0,0,0,0,0,P47,True
2.098,5.0,4.0,0.455,3.0, 2,3.0,3.0,1.0,6.0,5.577,9.665,6.0,8.0,3.0,30.0,2265765.0,25.0,12.0,1.0,2.0,2.098,-2.332,3.0,6.0,-0.4905605704294614,0.5023793018162661,-6,2,20,0,0,0,0,0,0,0,0,0,P48,True
1.991,5.077,4.0,0.423,2.0, 2,3.0,3.0,2.0,5.0,5.747,12.586,6.0,11.0,3.0,33.0,11003636.0,23.0,13.0,0.0,2.0,2.072,-3.591,3.0,8.0,-1.151078124780725,0.4720778910509988,-6,2,22,0,0,0,0,0,0,0,0,0,P49,True
1.938,5.077,4.0,0.423,2.0, 2,3.0,3.0,4.0,6.0,5.723,11.943,6.0,10.0,3.0,33.0,10812737.0,24.0,13.0,0.0,2.0,2.26,-3.376,3.0,7.0,-0.9001040475443719,0.4827726336581666,-6,2,22,0,0,0,0,0,0,0,0,0,P50,True
2.019,5.077,4.0,0.423,2.0, 2,3.0,3.0,1.0,6.0,5.714,11.543,6.0,10.0,3.0,33.0,10620522.0,25.0,13.0,0.0,2.0,2.23,-3.147,3.0,7.0,-0.8940887656023625,0.4859400141841364,-7,2,22,0,0,0,0,0,0,0,0,0,P51,True
2.144,5.077,4.0,0.423,2.0, 2,3.0,3.0,4.0,6.0,5.732,10.928,6.0,9.0,3.0,33.0,10078875.0,26.0,13.0,1.0,2.0,2.132,-2.903,3.0,7.0,-0.6477967840565447,0.4707677017616085,-7,2,22,0,0,0,0,0,0,0,0,0,P52,True
2.059,5.077,4.0,0.423,3.0, 2,3.0,3.0,1.0,6.0,5.734,10.552,6.0,9.0,3.0,33.0,9750960.0,27.0,13.0,1.0,2.0,2.209,-2.634,3.0,7.0,-0.6382489535665599,0.4704098436251662,-7,2,22,0,0,0,0,0,0,0,0,0,P53,True
1.959,5.143,4.0,0.396,2.0, 2,3.0,3.0,2.0,6.0,5.947,13.588,7.0,12.0,3.0,36.0,45054384.0,25.0,14.0,0.0,2.0,2.119,-3.805,3.0,8.0,-1.2283891963656202,0.4310401772343977,-7,2,24,0,0,0,0,0,0,0,0,0,P54,True
1.892,5.143,4.0,0.396,2.0, 2,3.0,3.0,4.0,6.0,5.915,12.943,7.0,11.0,3.0,36.0,44528640.0,26.0,14.0,0.0,2.0,2.332,-3.601,3.0,8.0,-0.9994788285380444,0.4427737551766779,-7,2,24,0,0,0,0,0,0,0,0,0,P55,True
1.941,5.143,4.0,0.396,2.0, 2,3.0,3.0,1.0,6.0,5.896,12.541,7.0,11.0,3.0,36.0,44057392.0,27.0,14.0,0.0,2.0,2.346,-3.386,3.0,8.0,-0.997312221540673,0.4473572752988849,-8,2,24,0,0,0,0,0,0,0,0,0,P56,True
2.019,5.143,4.0,0.396,2.0, 2,3.0,3.0,4.0,7.0,5.901,11.905,7.0,10.0,3.0,36.0,42134400.0,28.0,14.0,1.0,2.0,2.312,-3.159,3.0,7.0,-0.7689014113871405,0.4363822432808308,-8,2,24,0,0,0,0,0,0,0,0,0,P57,True
2.034,5.143,4.0,0.396,3.0, 2,3.0,3.0,1.0,7.0,5.893,11.519,7.0,10.0,3.0,36.0,41178960.0,29.0,14.0,1.0,2.0,2.27,-2.91,3.0,7.0,-0.7633181741224571,0.4385674626243427,-8,2,24,0,0,0,0,0,0,0,0,0,P58,True
1.886,5.143,4.0,0.396,3.0, 2,3.0,3.0,1.0,7.0,5.802,10.566,7.0,9.0,3.0,36.0,45696240.0,29.0,14.0,1.0,2.0,2.607,-2.58,3.0,7.0,-0.5973832733027046,0.4613325112816613,-7,2,24,0,0,0,0,0,0,0,0,0,P59,True
2.074,4.909,4.0,0.491,2.0, 2,3.0,3.0,2.0,5.0,5.461,9.385,5.0,8.0,3.0,27.0,514350.0,23.0,11.0,0.0,2.0,2.016,-2.261,3.0,6.0,-0.5221546319970316,0.5374786114872345,-6,2,18,0,0,0,0,0,0,0,0,0,P60,True
2.169,4.909,4.0,0.491,3.0, 2,3.0,3.0,2.0,5.0,5.435,9.26,5.0,8.0,3.0,27.0,510600.0,23.0,11.0,1.0,2.0,1.867,-2.0,3.0,6.0,-0.5432410429724271,0.5305364631352155,-5,2,18,0,0,0,0,0,0,0,0,0,P61,True
1.101,3.765,3.0,0.235,4.0, 4,3.0,3.0,2.0,8.0,3.878,6.868,8.0,5.0,3.0,32.0,22864500.0,8.0,17.0,1.0,3.0,2.668,-2.487,3.0,9.0,-0.2690215731589885,0.2818818588490809,-1,2,8,5,4,0,0,0,0,0,0,0,P62,True
1.132,3.765,3.0,0.235,4.0, 4,3.0,3.0,2.0,8.0,3.878,6.868,8.0,5.0,3.0,32.0,23044500.0,8.0,17.0,2.0,3.0,2.701,-2.487,3.0,9.0,-0.2515113414110004,0.2810420402988577,-1,1,8,5,4,0,0,0,0,0,0,0,P63,True
